"250502971675365_1198159900242996","anyone have an extra ticket to the santa barbara game <$DAY$> thanks"
"250502971675365_1198302613562058","i am giving away an extra ticket in exchange for a ride to pcv i am by the health center"
"250502971675365_1196973797028273","do not feel like walking to class or all the way to get food i am a campus rep for lyft and wanted to let you all know that by entering your schools code pol <$TIME$> free after downloading you get $ <$TIME$> worth of free rides hope you all have a great weekend "
"250502971675365_1195226197203033","people need to know $ $ <$TIME$> to $ <$TIME$> $ $ <$TIME$> to $ <$TIME$> $ $ <$TIME$>  <$TIME$> up "
"250502971675365_1195166993875620","i do not know why i joined this group i do not even own a car "
"250502971675365_1019661738092814","dear wonderful users as the founder of this group i wanted to share some exciting news with you california polytechnic state university ride share has been so successful and there are so many rides posted daily that there is a need for a more efficient way of posting and searching for rides thankfully a website and an ios and android apeopleication called poly rides have been created as a continuation of california polytechnic state university ride share in hopes of making ridesharing easier for you california polytechnic state university students vanessa forney and myra lukens worked very hard to create the poly rides website and app which will allow you to search post rides for a given date and sort rides by proximity to your desired route the app is intended for california polytechnic state university students and allows you to see mutual friends with potential drivers the facebook page will always be here but please consider downloading the app on your phone and using it next time you need a ride using the app will make ridesharing at california polytechnic state university easier for everyone please contact polyrides at gmail com with any feedback about the website and app and or fill out the google docs survey posted in the comments section so that we know what you want to see in poly rides thank you all so much for adapting to this change and for being members of california polytechnic state university ride share poly rides to jayne ellis"
"250502971675365_1187413027984350"," "
"250502971675365_1181698528555800","anyone have a truck we need to move a giant red x from the uu to farmers market and back <$DATESTAMP$>   will compensate with piza and beer randi alexandra hair"
"250502971675365_1179515142107472"," "
"250502971675365_1178921592166827","found these keys on the ground at the greek org section at club showcase <$DAY$> if these are yours or you know whose they are please contact me "
"250502971675365_1223216294404023","hello please read the full ad before responding  to i have a private room for rent in a  <$TIME$> bedroom/ <$TIME$> bathroom triple level condo available for one person i am a mature young adult looking for a new roomie  i am responsible fully employed i do not smoke cigarettes or do drugs and are not  <$TIME$>  <$TIME$> friendly so i am looking for someone who also does not do those things i am very friendly and super easy to get along with i am very clean so i am looking for a roommate who is also very clean  it is a huge  <$TIME$> story condo you will have your own private bathroom as well there is a balcony with ocean views and large living quarters its located about  <$TIME$> minutes from san luis obispo and about  <$TIME$> minutes from santa maria it is a quiet area super close to shopping bus stops everything the room is pretty good size with a large window you can fit a king size bed two  <$TIME$>  stands and even a dresser in it the room comes unfurned so you can put all your own stuff in it i take pride in my home and am looking for someone to respect that this is not by any means a party house but i am very friendly and outgoing i also love having roommate  <$TIME$> s but that being said i love my privacy rent is $ <$TIME$>  <$TIME$> month with first and last months due upon move in with a $ <$TIME$>  <$TIME$> one time carpet cleaning fee for once you move out all will be utilities will be included as well as charter high speed internet a gardner and of course full house privileges are included as well as access to all of the house necessities you must be able to pass a background check and be full time employed or a full time student i am also looking for someone with good credit overall i am a young adult just looking for a fun responsible easy going friendly person to share my home with  respond via text at show contact info  <$TIME$> a little about yourself  <$TIME$> your contact info best telephone number  <$TIME$> your place of employment  <$TIME$> usual work hours if i feel we are a match we can set up a time to meet and for you to fill out an apeopleication thank you and happy house hunting  "
"250502971675365_1169942529731400","funniest ride share story go "
"250502971675365_1168614909864162","selling  <$TIME$> kanye west to saint pablo tour tickets at oracle arena oakland <$DATESTAMP$> section  <$TIME$>  <$TIME$> row  <$TIME$> seats  <$TIME$> to  <$TIME$> message me if interested "
"250502971675365_1166839593375027","does anyone have a pickup truck and is willing to help some sistas out gotta move a couch "
"250502971675365_1165351390190514","to anyone who will be in the bayarea <$DAY$> i am selling my two tickets to see rob thomas and counting crows <$DATESTAMP$>   in mountain view $ <$TIME$> each please let me know if you are interested by  <$TIME$>   <$TIME$>  "
"250502971675365_1176267219098931","i have a flume tickets for sale for san francisco bill graham civic auditorium <$DATESTAMP$> for anyone who wants it "
"250502971675365_1218022224923430","have you been on a crowded bus or been left behind at the bus stop then come by <$DAY$> during uu hour  <$TIME$> to  <$TIME$>  at the uu to learn about measure j a <$DATE$> cent sales tax that will generate $ <$TIME$> million year over  <$TIME$> years the money will be used for bike transit pedestrian and road improvements including increased amenities stops span and frequency of buses as well as more off to road bike paths "
"250502971675365_1212642375461415","anyone looking for work or know of anyone looking for work in the riverside county my office is currently looking to fill in positions at our newest location message me for more information "
"250502971675365_1154613701264283","hey portland mustangs what is the fastest cheapest way to travel to oregon for the weekend "
