Academy of Art University,79 New Montgomery,San Francisco,CA,94105
Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA,94612
The Academy of Radio and TV Broadcasting,16052 Beach Blvd St 263n,Huntington Beach,CA,92647
Avalon School of Cosmetology,2318 Central Ave,Alameda,CA,94501
College of Alameda,555 Ralph Appezzato Memorial Pky,Alameda,CA,94501
Allan Hancock College,800 South College Drive,Santa Maria,CA,93454-6399
American Academy of Dramatic Arts,1336 N La Brea,Los Angeles,CA,90028
American Baptist Seminary of the West,2606 Dwight Way,Berkeley,CA,94704-3029
American Film Institute Conservatory,2021 N Western Ave,Los Angeles,CA,90027-1625
American Beauty College,646 S. Sunset Ave,West Covina,CA,91790
American Career College,4021 Rosewood Avenue,Los Angeles,CA,90004
American Conservatory Theater,30 Grant Ave,San Francisco,CA,94108-5834
American River College,4700 College Oak Dr,Sacramento,CA,95841-4286
Everest College,22336 Main Street,Hayward,CA,94541
Antelope Valley College,3041 West  Ave K,Lancaster,CA,93536-5426
Art Center College of Design,1700 Lida St,Pasadena,CA,91103
Associated Technical College,1670 Wilshire Blvd,Los Angeles,CA,90017-1604
Associated Technical College,707 Broadway-Ste 300,San Diego,CA,92101
Azusa Pacific University,901 E Alosta,Azusa,CA,91702-7000
Bakersfield College,1801 Panorama Dr,Bakersfield,CA,93305-1299
Barstow Community College,2700 Barstow Road,Barstow,CA,92311
Bellus Academy,1520 East Plaza Blvd,National City,CA,91950
Bethesda University of California,730 N. Euclid St,Anaheim,CA,92801
Biola University,13800 Biola Ave,La Mirada,CA,90639-0001
Brooks Institute,25/27 Mason Street,Santa Barbara,CA,93101
Brownson Technical School,1110 Technology Cir Ste D,Anaheim,CA,92805
Bryan University,3580 Wilshire blvd suite 400,Los Angeles,CA,90010
Butte College,3536 Butte Campus Drive,Oroville,CA,95965-8399
Phillips Graduate Institute,19900 Plummer Street,Chatsworth,CA,91311
California Institute of Integral Studies,1453 Mission Street,San Francisco,CA,94103
Cabrillo College,6500 Soquel Dr,Aptos,CA,95003
California Baptist University,8432 Magnolia Ave,Riverside,CA,92504-3297
California College of the Arts,1111 Eighth Street,San Francisco,CA,94107-2247
California Institute of Technology,1200 E California Blvd,Pasadena,CA,91125
California Lutheran University,60 W Olsen Rd,Thousand Oaks,CA,91360-2787
California Polytechnic State University,1 Grand Ave.,San Luis Obispo,CA,93407
Alliant International University,10455 Pomerado Road,San Diego,CA,92131-1799
