Date,Run,Total Lines in Set,# of Folds,Stop Words,Stemming,Accuracy
11/1/16,Run 0 (0 - 195),1955,10,Yes,No,97.45%
,Run 1 (196 - 390),1955,10,Yes,No,98.46%
,Run 2 (391 - 586),1955,10,Yes,No,98.47%
,Run 3 (587 - 781),1955,10,Yes,No,98.46%
,Run 4 (782 - 977),1955,10,Yes,No,98.47%
,Run 5 (978 - 1172),1955,10,Yes,No,100.00%
,Run 6 (1173 - 1368),1955,10,Yes,No,98.47%
,Run 7 (1369 - 1563),1955,10,Yes,No,97.44%
,Run 8 (1564 - 1759),1955,10,Yes,No,98.98%
,Run 9 (1760 - 1954),1955,10,Yes,No,96.92%
,Total Accuracy:,98.31%,,,,
,,,,,,
,,,,,,
11/1/16,Run 0 (0 - 195),1955,10,Yes,Yes,86.74%
,Run 1 (196 - 390),1955,10,Yes,Yes,79.49%
,Run 2 (391 - 586),1955,10,Yes,Yes,80.10%
,Run 3 (587 - 781),1955,10,Yes,Yes,81.03%
,Run 4 (782 - 977),1955,10,Yes,Yes,80.10%
,Run 5 (978 - 1172),1955,10,Yes,Yes,81.03%
,Run 6 (1173 - 1368),1955,10,Yes,Yes,82.14%
,Run 7 (1369 - 1563),1955,10,Yes,Yes,82.56%
,Run 8 (1564 - 1759),1955,10,Yes,Yes,84.18%
,Run 9 (1760 - 1954),1955,10,Yes,Yes,82.05%
,Total Accuracy: ,0.81942,,,,
,,,,,,
,,,,,,
7/8/17,Run 0 (0 - 282) ,2834,10,Yes,No,98.59%
,Run 1 (283 - 566),2834,10,Yes,No,97.89%
,Run 2 (567 - 849),2834,10,Yes,No,99.29%
,Run 3 (850 - 1133),2834,10,Yes,No,99.65%
,Run 4 (1134 - 1416),2834,10,Yes,No,98.59%
,Run 5 (1417 - 1699),2834,10,Yes,No,99.29%
,Run 6 (1700 - 1983),2834,10,Yes,No,100.00%
,Run 7 (1984 - 2266),2834,10,Yes,No,99.29%
,Run 8 (2267 - 2550),2834,10,Yes,No,99.30%
,Run 9 (2551 - 2833),2834,10,Yes,No,97.88%
,Total Accuracy: ,0.98976,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
